Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.08,-.19,-.17,-.09,-.13,-.22,-.20,-.16,-.16,***,***,-.10,-.15,-.18
1881,-.18,-.13,.04,.06,.07,-.17,.01,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.05,-.15,-.13,-.22,-.15,-.06,-.13,-.23,-.15,-.35,-.10,-.07,.09,-.08,-.14,-.17
1883,-.28,-.35,-.11,-.17,-.16,-.07,-.05,-.12,-.20,-.10,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.17
1884,-.12,-.06,-.35,-.39,-.33,-.35,-.31,-.26,-.26,-.24,-.32,-.30,-.27,-.26,-.09,-.36,-.31,-.27
1885,-.58,-.33,-.26,-.41,-.44,-.43,-.33,-.30,-.28,-.23,-.23,-.09,-.33,-.34,-.40,-.37,-.35,-.25
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.26,-.24,-.31,-.29,-.34,-.31,-.27,-.25
1887,-.71,-.56,-.35,-.34,-.29,-.24,-.25,-.34,-.25,-.35,-.25,-.32,-.35,-.35,-.50,-.33,-.28,-.28
1888,-.33,-.35,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.04,-.03,-.17,-.19,-.33,-.27,-.14,-.02
1889,-.08,.18,.06,.10,.00,-.09,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.39,-.24,-.27,-.38,-.36,-.24,-.42,-.31,-.35,-.34,-.38,-.36,-.30,-.34
1891,-.33,-.46,-.17,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.23,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.26,-.20,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.26,-.17,-.13
1896,-.21,-.12,-.25,-.30,-.15,-.10,-.02,-.04,-.06,.07,-.04,-.04,-.11,-.11,-.15,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.18,-.19,-.10,-.09,-.11,-.05,-.07,-.13
1898,-.01,-.29,-.50,-.30,-.29,-.18,-.21,-.26,-.21,-.33,-.37,-.22,-.26,-.26,-.16,-.36,-.22,-.30
1899,-.16,-.38,-.35,-.20,-.23,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.09,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.10,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.22
