
Year,2019 report,2020 report
1750,0,0.01
1751,10.99,0.01
1752,10.99,0.01
1753,10.99,0.01
1754,10.99,0.01
1755,10.99,0.01
1756,10.99,0.01
1757,10.99,0.01
1758,10.99,0.01
1759,10.99,0.01
1760,10.99,0.01
1761,10.99,0.01
1762,10.99,0.01
1763,10.99,0.01
1764,10.99,0.01
1765,10.99,0.01
1766,10.99,0.01
1767,10.99,0.01
1768,10.99,0.01
1769,10.99,0.01
1770,10.99,0.01
1771,14.66,0.01
1772,14.66,0.01
1773,14.66,0.01
1774,14.66,0.01
1775,14.66,0.01
1776,14.66,0.02
1777,14.66,0.02
1778,14.66,0.02
1779,14.66,0.02
1780,14.66,0.02
1781,18.32,0.02
1782,18.32,0.02
1783,18.32,0.02
1784,18.32,0.02
1785,18.32,0.02
1786,18.32,0.02
1787,18.32,0.02
1788,18.32,0.02
1789,18.32,0.02
1790,18.32,0.02
1791,21.98,0.02
1792,21.98,0.02
1793,21.98,0.02
1794,21.98,0.02
1795,21.98,0.02
1796,21.98,0.02
1797,25.65,0.02
1798,25.65,0.03
1799,25.65,0.03
1800,29.31,0.03
1801,29.31,0.03
1802,36.64,0.04
1803,32.98,0.03
1804,32.98,0.03
1805,32.98,0.03
1806,36.64,0.04
1807,36.64,0.04
1808,36.64,0.04
1809,36.64,0.04
1810,36.64,0.04
1811,40.3,0.04
1812,40.3,0.04
1813,40.3,0.04
1814,40.3,0.04
1815,43.97,0.04
1816,47.63,0.05
1817,51.3,0.05
1818,51.3,0.05
1819,51.3,0.05
1820,51.3,0.05
1821,51.3,0.05
1822,54.96,0.05
1823,58.62,0.06
1824,58.62,0.06
1825,62.29,0.06
1826,62.29,0.06
1827,65.95,0.07
1828,65.95,0.07
1829,65.95,0.07
1830,87.94,0.09
1831,84.27,0.08
1832,84.27,0.09
1833,87.94,0.09
1834,87.94,0.09
1835,91.6,0.09
1836,106.26,0.1
1837,106.26,0.1
1838,109.92,0.11
1839,113.58,0.11
1840,120.91,0.12
1841,124.58,0.12
1842,131.9,0.13
1843,135.57,0.13
1844,142.9,0.14
1845,157.55,0.16
1846,157.55,0.16
1847,168.54,0.17
1848,172.21,0.17
1849,183.2,0.18
1850,197.86,0.2
1851,197.86,0.2
1852,208.85,0.21
1853,216.18,0.22
1854,252.82,0.26
1855,260.14,0.26
1856,278.46,0.28
1857,282.13,0.28
1858,285.79,0.28
1859,304.11,0.3
1860,333.42,0.33
1861,348.08,0.35
1862,355.41,0.35
1863,381.06,0.38
1864,410.37,0.41
1865,436.02,0.43
1866,447.01,0.45
1867,476.32,0.48
1868,494.64,0.49
1869,520.29,0.52
1870,538.61,0.53
1871,571.58,0.57
1872,633.87,0.63
1873,674.18,0.67
1874,637.54,0.62
1875,688.83,0.68
1876,699.82,0.69
1877,710.82,0.7
1878,718.14,0.7
1879,769.44,0.76
1880,864.7,0.85
1881,890.35,0.88
1882,937.98,0.93
1883,996.61,0.99
1884,1007.6,1
1885,1014.93,1.01
1886,1029.58,1.03
1887,1080.88,1.08
1888,1198.13,1.19
1889,1198.13,1.19
1890,1304.38,1.3
1891,1363.01,1.36
1892,1370.34,1.37
1893,1355.68,1.35
1894,1403.31,1.4
1895,1487.58,1.49
1896,1535.22,1.53
1897,1612.16,1.61
1898,1703.76,1.7
1899,1857.65,1.85
1900,1956.58,1.95
1901,2022.53,2.02
1902,2073.82,2.07
1903,2260.69,2.26
1904,2286.34,2.28
1905,2429.23,2.43
1906,2590.45,2.56
1907,2872.58,2.89
1908,2748,2.78
1909,2876.24,2.89
1910,3000.82,3.03
1911,3063.1,3.09
1912,3220.66,3.24
1913,3455.15,3.5
1914,3114.4,3.18
1915,3070.43,3.13
1916,3301.26,3.38
1917,3499.12,3.54
1918,3429.5,3.49
1919,2953.18,3.03
1920,3414.85,3.52
1921,2942.19,3.09
1922,3096.08,3.24
1923,3554.08,3.68
1924,3528.43,3.69
1925,3572.4,3.72
1926,3601.71,3.65
1927,3891.17,3.99
1928,3902.16,3.97
1929,4195.28,4.26
1930,3858.19,3.93
1931,3444.16,3.5
1932,3103.41,3.16
1933,3271.95,3.32
1934,3565.07,3.61
1935,3762.93,3.79
1936,4140.32,4.16
1937,4429.78,4.45
1938,4184.29,4.19
1939,4367.49,4.43
1940,4759.54,4.84
1941,4887.78,4.95
1942,4917.09,4.93
1943,5096.62,5.01
1944,5067.31,5.1
1945,4250.24,4.24
1946,4536.03,4.62
1947,5100.29,5.12
1948,5382.42,5.38
1949,5199.22,5.23
1950,5972.32,5.89
1951,6474.29,6.36
1952,6576.88,6.44
1953,6745.42,6.62
1954,6833.36,6.76
1955,7481.89,7.41
1956,7976.53,7.89
1957,8317.28,8.15
1958,8537.12,8.38
1959,8856.77,8.85
1960,9344.02,9.34
1961,9365.86,9.35
1962,9698.23,9.69
